Sentence,course,professor,course_keyword
세무회계 강의 평가가 어때? ,세무회계,,강의 평가가 어때?
무역경영관리 손명옥 강의 후기 좋은가? ,무역경영관리,손명옥,강의 후기 좋은가?
소비자행동론 중간고사 기말고사 봐? ,소비자행동론,,중간고사 기말고사 봐?
경영학과 김진화 교수님 후기가 어때? ,,김진화,후기가 어때?
국제경영론에서 뭐 배워?,국제경영론,,뭐 배워?
원가회계 황국재 어떰? ,원가회계,황국재,어떰?
원재환 파생상품론 많이 어려울까?,파생상품론,원재환,많이 어려울까?
원재환 파생상품론 강의 평가 요약 좀,파생상품론,원재환,강의 평가 요약 좀
비지니스프로세스관리 강의에서 뭐 배워? ,비즈니스프로세스관리,,뭐 배워?
종교와세계문화 팀플 있을까 ,종교와세계문화,,팀플 있을까
생산관리론 이준겸 수업 스타일이 어때 ,생산관리론,이준겸,수업 스타일이 어때
김양론교수님 경영전략 수업 후기 좋아?,경영전략,김양론,후기 좋아?
디지털변혁과비즈니스모델혁신 수업 어때?,디지털변혁과비즈니스모델혁신,,수업 어때?
디지털변혁과비즈니스모델혁신 강의 뭐 배움,디지털변혁과비즈니스모델혁신,,강의 뭐 배움
포트폴리오관리 이영주 교수님 강평 어떤지 알려줘,포트폴리오관리,이영주,강평
변상혁 회계학원론 수업 어떨까 ,회계학원론,변상혁,수업 어떨까
박두리 겨수님 회계학원론 어떰?,회계학원론,박두리,어떰?
박두리 회원 강평 어때?,회원,박두리,강평 어때?
회원 박두리 수업 어려울까?,회원,박두리,어려울까?
김민 회원 후기 어떰,회원,김민,후기 어떰
조한렬 독일언어와문화1 강평요약해,독일언어와문화1,조한렬,강평요약해
임애리 프랑스언어와문화1 불어 처음 접해도 들을만해?,프랑스언어와문화1,임애리,불어 처음 접해도 들을만해?
김민 회원 영강이야?,회원,김민,영강이야?
김민 교수님 회계학원론 어때?,회계학원론,김민,어때?
회계학원론 김민 후기 알려줘,회계학원론,김민,후기 알려줘
이인석 조직행동이론 수업 팀플 어려울까?,조직행동이론,이인석,팀플 어려울까?
조봉순 조행이 강평 어때?,조행이,조봉순,강평 어때?
조직행동이론 조봉순 강의평가가 궁금해,조직행동이론,조봉순,강의평가가 궁금해
조봉수 교수님 조직행동이론 강의평가를 알려줘 ,조직행동이론,조봉수,강의평가를 알려줘
최장호 교수님 조행이 수업 스타일 어떨까,조행이,최창호,수업 스타일 어떨까
최장호 조직행동이론 수업 후기 어때?,조직행동이론,최창호,후기 어때?
조직행동이론 최장호 시험 어때?,조직행동이론,최창호,시험 어때?
한재형 경정시 어떨까?,경정시,한재형,어떨까?
한재형 경영정보시스템 시험 빡세나? ,경영정보시스템,한재형,시험 빡세나?
한재형 교수님 경정시 시험 어때?,경정시,한재형,어때?
하병천 생산관리론 어떰?,생산관리론,하병천,어떰?
하병천 생관 강평 요약 좀,생관,하병천,강평 요약 좀
생산관리 하병천 교수님 후기 요약해줘 ,생산관리,하병천,후기 요약해줘
하병천 생산관리론 쁠몰이야? ,생산관리론,하병천,쁠몰이야?
하병천 교수님 생산관리론 시험 어려워? ,생산관리론,하병천,시험 어려워?
경제수리기초 수업 어때?,경제수리기초,,수업 어때?
박지영 교수님 중국언어와문화1 강평 요약해,중국언어와문화1,박지영,강평 요약해
일본언어와문화1 최은희 교수님꺼 어때?,일본언어와문화1,최은희,어때?
김재희 초급아랍어 강평요약,초급아랍어,김재희,강평요약
문종현 현대세계의역사적이해 강의평가좀,현대세계의역사적이해,문종현,강의평가좀
김상엽 공업수학1 어떤데?,공업수학1,김상엽,어떤데?
박정열 교수님의 기계공학해석 어때?,기계공학해석,박정열,어때?
신지영 기초한문 재미있어?,기초한문,신지영,재미있어?
김근영 교수님 일반심리학 어때?,심리학,김근영,어때?
최상철의 역사란무엇인가 재미있어?,역사란무엇인가,최상철,재미있어?
이수정 교수님 이주의역사 무슨 내용의 수업이야?,이주의역사,이수정,무슨 내용의 수업
경제수리기초 시험 족보에서 나와?,경제수리기초,,시험 족보에서 나와?
경제수리 기초 수업 어려울까? ,경제수리 기초,,어려울까?
경제수리기초에서 뭐 배워?,경제수리기초,,뭐 배워?
경제수리기초 교수님 평가가 어떠냐 ,경제수리기초,,평가가 어떠냐
기업윤리 장영균 교수님 과제 있음?,기업윤리,장영균,과제
경영학과 장영균 교수님 수업 평가가 어떰 ,,장영균,수업 평가
장영균 교수님 기업윤리 영어 강의야?,기업윤리,장영균,영어 강의야?
장영균 기업윤리 팀플 어때?,기업윤리,장영균,팀플
장영균 교수 조직행동이론 수업 팀플 있어? ,조직행동이론,장영균,팀플
BA 인공지능 수업 많이 어려울까,BA 인공지능,,많이 어려울까
BA 인공지능 수업에서 뭐 배워?,BA 인공지능,,뭐 배워?
BA 인공지능 시험 스타일이 어때?,BA 인공지능,,시험 스타일이 어때?
BA 인공지능 수업 후기가 좋을까? ,BA 인공지능,,수업 후기가 좋을까?
경영품질의이해 수업 강평 좀 ,경영품질의이해,,강평
강세원 교수님 경영 품질의 이해 수업 스타일 알려줘 ,경영 품질의 이해,강세원,수업 스타일 알려줘
강세원 경품이 강의 평가 요약 좀,경품이,강세원,강의 평가
갓계량 강의 평가 요약 좀 ,갓계량,이한식,강의 평가
이한식 교수님 계량경제학 족보에서 시험 나와?,계량경제학,이한식,족보에서 시험 나와?
이한식 교수님 계량경제학 과제 잇어?,계량경제학,이한식,과제 잇어?
이한식 계량 과제 많음?,계량,이한식,과제 많음?
계량경제 이한식 수업 어떰?,계량경제,이한식,수업 어떰?
이한식 계량 발표 해야 됨?,계량,이한식,발표 해야 됨?
이한식 계량 텀페이퍼 써야 돼?,계량,이한식,텀페이퍼 써야 돼?
이한식 교수님 계량경제학 텀페이퍼 필수야? ,계량경제학,이한식,텀페이퍼 필수야?
남준우 계량 팀플 있어? ,계량,남준우,팀플 있어?
이솔 교수님의 삶과죽음 어떤 내용이야?,삶과죽음,이솔,어떤 내용이야?
강선형 영화와철학 과제있어?,영화와철학,강선형,과제있어?
계량경제학 남준우 교수님 팀플 해야 돼? ,계량경제학,남준우,팀플 해야 돼?
현재우 한국문화와종교 들을만함?,한국문화와종교,현재우,들을만함?
김여진 치유의행복학 꿀강이야?,치유의행복학,김여진,꿀강이야?
남기정 탁구 재밌음?,탁구,남기정,재밌음?
김미정 수화의이해 꿀교양?,수화의이해,김미정,꿀교양?
김경아 진로탐색입문 유익해?,진로탐색입문,김경아,유익해?
남준우 교수님 계량 시험 어려워? ,계량경제학,남준우,시험 어려워?
김영희 결혼준비특강 뭐하는 수업임?,결혼준비특강,김영희,뭐하는 수업임?
이상복 법과금융 강평어때?,법과금융,이상복,강평어때?
바다의이해 이은일 어때?,바다의이해,이은일,어때?
대중문화론 과제 많아?,대중문화론,,과제 많아?
미디어문화사 수업 빡세? ,미디어문화사,,수업 빡세?
한류 수업 강의평가 알려줘,한류,,강의평가 알려줘
텔레비전론 수업 괜찮을까?,텔레비전론,,괜찮을까?
기빅프 프로젝트 해야 돼?,기빅프,,프로젝트 해야 돼?
김진화 교수님 수업 평가 어때? ,,김진화,수업 평가
소비자행동론 강의 어려울까? ,소비자행동론,,어려울까?
오은영 논리학개론 어때?,논리학개론,오은영,어때?
수양과명상 뭐하는 수업이야?,수양과명상,,뭐하는 수업이야?
김태원 영문학개론 어려워?,영문학개론,김태원,어려워?
김치헌 영문학작문 뭐 배워?,영문학작문,김치헌,뭐 배워?
르네상스시대의영문학 재미있어?,르네상스시대의영문학,,재미있어?
시와문화 수업 어떤 수업이야?,시와문화,,어떤 수업이야?
이요안 대화분석 무슨 수업임?,대화분석,이요안,무슨 수업임?
안학영 미국문화사 보통 몇학년에 들어?,미국문화사,안학영,보통 몇학년에 들어?
김혜진 번역연습 어때?,번역연습,김혜진,어때?
이민수 독문법2 무슨 수업임?,독문법2,이민수,무슨 수업임?
“한국힙합의탐구” << 이거 어때,한국힙합의탐구,,이거 어때
영문학개론에 대해서 알려줘,영문학개론,,알려줘
경통 난이도 빡세?,경통,,빡세?
국금론이 꿀강인 이유를 알려줄래?,국금론,,
알고싶어. “왕게임”,,,
경제학특강은 도대체 뭐하는 수업이야?,경제학특강,,뭐하는 수업이야?
회원 교수님 추천좀,회원,,
