Sentence,course,professor,course_keyword
현대 동아시아의 형성 방향숙 수업 어디서 하지?,현대 동아시아의 형성,방향숙숙,수업 어디서 하지?
도시사회학 수업 어디야,도시사회학,,수업 어디야
이번에 열리는 소정민 교수님 자료구조 시간이 언제야?,자료구조,소정민,언제야?
인문사회글쓰기 강의실이 어디야?,인문사회글쓰기,,강의실이 어디야?
철학적 인간학 이종진 강의실 좀 알려주라,철학적 인간학,이종진,강의실 좀 알려주라
수요일에 알관에서 하는 수업 뭐가있어?,,,수업 뭐가있어?
이번에 위상수학개론 수업 강의실이 어디야?,위상수학개론,,강의실이 어디야?
김종락 통신수학 언제야?,통신수학,김종락,언제야?
배드민턴 수업 어디서 해?,배드민턴,,어디서 해?
조성빈 경영과학 강의실 알려줘,경영과학,조성빈,강의실 알려줘
일반물리1 스테파노 교수님거 수업 어디서 몇시에 해?,일반물리1,스테파노,어디서 몇시에 해?
경제과 캡디 과목들에 대해서 좀 알려줄래,,,경제과 캡디
권미란 비평적글쓰기연습 어디서해?,비평적글쓰기연습,권미란,어디서 해?
조장현 선형대수학 몇시 수업이야?,선형대수학,조장현,몇시 수업이야?
박무인 일반물리1 수업 어디로 가야함?,일반물리1,박무인,어디로 가야함?
일반물리실험1 정현식 교수님꺼 몇시에 해?,일반물리실험1,정현식,몇시에 해?
김진원 경제학원론1  수업시간과 장소 알려줘,경제학원론1,김진원,수업시간과 장소 알려줘
주하연 교수님 경제통계학 수업 위치 및 시간,경제통계학,주하연,수업 위치 및 시간
이윤동 경영통계학 위치 및 시간 알려줘,경영통계학,이윤동,위치 및 시간 알려줘
신운섭 일반화학1 강의실 알려줘,일반화학1,신운섭,강의실 알려줘
이종석 화공수학1 수업시간은?,화공수학1,이종석,수업시간은?
김우선 사회학개론 강의 어디서함?,사회학개론,김우선,어디서함?
4차산업혁명과기업가정신 수업 어디서 하는지 알려줘,4차산업혁명과기업가정신,,어디서 하는지 알려줘
직장생활과법 수업시간 알려줘,직장생활과법,,수업시간 알려줘
인간과인권1 강의실이 어디야?,인간과인권1,,강의실이 어디야?
미적분학실습1 수업시간과 강의실 알려줘,미적분학실습1,,수업시간과 강의실 알려줘
텔미 신창언 집합론 수업시간과 강의실,집합론,신창언,수업시간과 강의실
조상현 선대 강의실 알려줘,선대,조상현,강의실 알려줘
이기진 일반물리1 강의실 어디임,일반물리1,이기진,강의실 어디임
일반물리1 유효빈 수업시간 궁금해,일반물리1,유효빈,수업시간 궁금해
김홍균 경제학원론1 강의실 어댜?,경제학원론1,김홍균,강의실 어댜?
허정 교수님의 경제학원론1 수업시간좀,경제학원론1,허정,수업시간좀
김형욱 경원2 어디서 수업함?,경원2,김형욱,어디서 수업함?
이강오 경제수리기초 강의시간 좀,경제수리기초,이강오,강의시간 좀
주봉건 일생1 강의실 정보좀,일생1,주봉건,강의실 정보좀
C프로그래밍기초 수업시간 알려줘,C프로그래밍기초,,수업시간 알려줘
정일영 인문세미나 수업 강의실 어디야?,인문세미나,정일영,강의실 어디야?
김지현 대학수학 수업시간 좀,대학수학,김지현,수업시간 좀
미적분학2 유지현 교수님 수업 강의 어디서 해?,미적분학2,유지현,강의 어디서 해?
강호석 기초C언어 강의실 어디야?,기초C언어,강호석,강의실 어디야?
황윤정 국문학개설 수업시간 좀,국문학개설,황윤정,수업시간 좀
황화상 국어형태론 수업시간좀,국어형태론,황화상,수업시간좀
국어의미론 수업시간,국어의미론,,수업시간
중세국어강독 강의실 좀,중세국어강독,,강의실 좀
문장과수사 몇시에 해?,문장과수사,,몇시에 해?
문학과문화 강의시간 좀,문학과문화,,강의시간 좀
최지혜 교수님 고전문학사 강의실 좀,고전문학사,최지혜,강의실 좀
최지혜 교수님 고전시텍스트읽기 강의시간이 궁금,고전텍스트읽기,최지혜,강의시간이 궁금
국어교과교육론 수업시간,국어교과교육론,,수업시간
정면 중국고대사 강의시간좀,중국고대사,정면,강의시간좀
한국여성사 강의실 좀,한국여성사,,강의실 좀
동서교류사 수업 어디서해?,동서교류사,,어디서해?
이번 학기 미시 시간표 중에 1교시가 없는 수업은?,,,
세포학 수업 시긴대를 알려줘,세포학,,시긴대를
잼관 강의실 어디야,잼관,,어디야
